,每日PnL,净值,资金占用比例,杠杆倍数,换手率
2014-05-27,740.0,1.076025,0.06751162844729446,0.99626,0.05923439999999999
2014-05-28,4340.0,1.080365,0.06765750463963568,1.00284,0.0523292
2014-05-29,3360.0,1.083725,0.06671046621606036,0.99194,0.035259
2014-05-30,3110.0,1.086835,0.06569516071896839,0.97964,0.04925410000000001
2014-06-03,-1685.0,1.08515,0.06182725890429895,0.918155,0.03762780000000001
2014-06-04,-1605.0,1.083545,0.06684577013414303,0.99442,0.027935600000000005
2014-06-05,-1820.0,1.081725,0.06758140932307194,1.00375,0.0333809
2014-06-06,1640.0,1.083365,0.07088820480632105,1.05654,0.029631700000000004
2014-06-09,-2690.0,1.080675,0.06749327966317348,1.00129,0.013130600000000001
2014-06-10,2150.0,1.082825,0.06728820446517213,1.000105,0.06629735
2014-06-11,-1330.0,1.081495,0.062463950365003997,0.924035,0.0138887
2014-06-12,1270.0,1.082765,0.06244822283690367,0.925625,0.023220400000000002
2014-06-13,-2885.0,1.07988,0.06700550061117902,0.99257,0.0306523
2014-06-16,-3785.0,1.076095,0.06257542317360457,0.92123,0.07406325
2014-06-17,5500.0,1.081595,0.06515414734720482,0.96582,0.028489300000000002
2014-06-18,555.0,1.08215,0.06475137457838562,0.96001,0.03135615
2014-06-19,1685.0,1.083835,0.06463543805099485,0.959245,0.0
2014-06-20,4615.0,1.08845,0.06890137351279343,1.02861,0.036603
2014-06-23,9700.0,1.09815,0.06851659609342986,1.03115,0.049244300000000005
2014-06-24,-570.0,1.09758,0.06873093533045428,1.03401,0.07634210000000001
2014-06-25,-800.0,1.09678,0.0661045970933095,0.99226,0.0148582
2014-06-26,4595.0,1.101375,0.06855921007831121,1.03482,0.014201950000000001
2014-06-27,1460.0,1.102835,0.07070531856533391,1.07069,0.03251710000000001
2014-06-30,565.0,1.1034,0.07106316838861701,1.07763,0.01523865
2014-07-01,4380.0,1.10778,0.06532443264908196,0.99133,0.018762800000000003
2014-07-02,-1180.0,1.1066,0.07052810410265681,1.07262,0.029213100000000002
2014-07-03,-40.0,1.10656,0.06450007229612494,0.97736,0.026961200000000005
2014-07-04,-1440.0,1.10512,0.06605083610829594,1.00093,0.03419850000000001
2014-07-07,-4525.0,1.100595,0.06639535887406359,1.04392,0.07625655
2014-07-08,850.0,1.101445,0.06576887633971737,0.99484,0.0675745
2014-07-09,-835.0,1.10061,0.06222249479833911,0.93841,0.03713185000000001
2014-07-10,-135.0,1.100475,0.06388336854540085,0.964515,0.019758200000000004
2014-07-11,-315.0,1.10016,0.06852885034904015,1.03731,0.023695000000000004
2014-07-14,-1305.0,1.098855,0.06309230972239285,0.95039,0.03919615
2014-07-15,2920.0,1.101775,0.06853277665585078,1.03871,0.015821400000000003
2014-07-16,1770.0,1.103545,0.06701638809473108,1.01638,0.035231
2014-07-17,-4120.0,1.099425,0.0675071059872206,1.0196,0.016779
2014-07-18,1260.0,1.100685,0.06709112961473992,1.01476,0.0
2014-07-21,-240.0,1.1004450000000001,0.06916847275420399,1.04723,0.030846900000000003
2014-07-22,1140.0,1.101585,0.06937449220895348,1.05137,0.0
2014-07-23,80.0,1.1016650000000001,0.06445307784126754,0.97011,0.0818938
2014-07-24,-3660.0,1.098005,0.06785488226374196,1.0195,0.039081700000000004
2014-07-25,1365.0,1.09937,0.07068320947451724,1.0652,0.02832165
2014-07-28,2650.0,1.10202,0.06977359757536161,1.05387,0.032223800000000004
2014-07-29,-10900.0,1.09112,0.07323140442847716,1.095675,0.01025885
2014-07-30,-60.0,1.09106,0.06618545267904606,0.98639,0.03713325
2014-07-31,20.0,1.09108,0.0666445173589471,0.99365,0.016528400000000002
2014-08-01,780.0,1.09186,0.07169431062590442,1.074045,0.025099550000000005
2014-08-04,-315.0,1.091545,0.07076950560902208,1.05893,0.0115395
2014-08-05,250.0,1.091795,0.06549489601985722,0.9773,0.027069
2014-08-06,4110.0,1.095905,0.06970841450673188,1.04724,0.024948700000000004
2014-08-07,120.0,1.096025,0.0660275997354075,0.98937,0.0566853
2014-08-08,-1040.0,1.094985,0.06614364580336717,0.99029,0.0
2014-08-11,4960.0,1.099945,0.06348999268145226,0.99765,0.025545
2014-08-12,150.0,1.100095,0.06568869052218218,0.98894,0.0586056
2014-08-13,-2225.0,1.09787,0.06232778015612049,0.97754,0.057210550000000006
2014-08-14,-5795.0,1.092075,0.06705052308678434,1.04606,0.047262950000000005
2014-08-15,780.0,1.092855,0.0602547455975404,0.94071,0.05590830000000001
2014-08-18,-1230.0,1.091625,0.06632534066185732,0.99172,0.039323199999999996
2014-08-19,620.0,1.092245,0.06652225462236037,0.99518,0.0
2014-08-20,-2330.0,1.089915,0.066369487528844,0.99063,0.0
2014-08-21,3135.0,1.09305,0.0699165180000915,1.048975,0.026539100000000003
2014-08-22,-3385.0,1.089665,0.07004896000146835,1.04727,0.061752600000000005
2014-08-25,950.0,1.0906150000000001,0.06532516057453823,0.97488,0.009385600000000001
2014-08-26,2675.0,1.09329,0.06433974517282698,0.9627,0.03158785
2014-08-27,-4980.0,1.0883099999999999,0.06588196377870276,0.9819,0.0434014
2014-08-28,-3375.0,1.084935,0.06936503108481154,1.033265,0.0186319
2014-08-29,5140.0,1.090075,0.06529073687590303,0.97534,0.018576950000000005
