,PP.DCE,MA.CZC,ZC.CZC,L.DCE,V.DCE,EG.DCE,TA.CZC,J.DCE,RB.SHF,I.DCE,JM.DCE,HC.SHF,BU.SHF,SC.INE,FU.SHF
2017-08-15,0.0,0.0,0.0,0.0,-316.0,0,434.0,52.0,-297.0,210.0,139.0,-289.0,425.0,0,-264.0
2017-08-16,0.0,0.0,0.0,0.0,-317.0,0,436.0,52.0,-300.0,212.0,136.0,-290.0,423.0,0,-264.0
2017-08-17,-227.0,0.0,0.0,0.0,-281.0,0,390.0,44.0,-263.0,180.0,115.0,-254.0,373.0,0,-264.0
2017-08-18,-226.0,0.0,0.0,0.0,-274.0,0,387.0,44.0,-257.0,172.0,112.0,-249.0,368.0,0,-264.0
2017-08-21,-223.0,0.0,0.0,0.0,-272.0,0,384.0,43.0,-252.0,168.0,113.0,-246.0,368.0,0,-264.0
2017-08-22,-219.0,0.0,0.0,0.0,-269.0,0,380.0,42.0,-254.0,165.0,112.0,-247.0,367.0,0,-264.0
2017-08-23,-244.0,0.0,0.0,0.0,0.0,0,423.0,47.0,-294.0,192.0,127.0,-287.0,413.0,0,-264.0
2017-08-24,-245.0,0.0,0.0,0.0,0.0,0,418.0,46.0,-288.0,191.0,125.0,-280.0,406.0,0,-264.0
2017-08-25,-243.0,0.0,0.0,0.0,0.0,0,418.0,45.0,-283.0,190.0,123.0,-274.0,403.0,0,-264.0
2017-08-28,-244.0,0.0,0.0,0.0,0.0,0,420.0,45.0,-283.0,194.0,126.0,-272.0,405.0,0,-264.0
2017-08-29,-269.0,0.0,0.0,0.0,0.0,0,473.0,52.0,-322.0,226.0,0.0,-308.0,460.0,0,-264.0
2017-08-30,-270.0,0.0,0.0,0.0,0.0,0,472.0,52.0,-323.0,225.0,0.0,-307.0,461.0,0,-264.0
2017-08-31,-267.0,0.0,0.0,0.0,0.0,0,471.0,53.0,-318.0,218.0,0.0,-307.0,468.0,0,-264.0
2017-09-01,-232.0,0.0,0.0,0.0,0.0,0,414.0,47.0,-274.0,191.0,128.0,-261.0,411.0,0,-264.0
2017-09-04,-231.0,0.0,0.0,0.0,0.0,0,414.0,49.0,-274.0,196.0,133.0,-259.0,425.0,0,-264.0
2017-09-05,-189.0,0.0,0.0,-174.0,231.0,0,338.0,39.0,-223.0,158.0,106.0,-210.0,349.0,0,-264.0
2017-09-06,-193.0,0.0,0.0,-177.0,233.0,0,342.0,39.0,-228.0,165.0,109.0,-215.0,349.0,0,-264.0
2017-09-07,-195.0,0.0,0.0,-179.0,238.0,0,343.0,38.0,-230.0,167.0,108.0,-216.0,360.0,0,-264.0
2017-09-08,-197.0,0.0,0.0,-180.0,241.0,0,344.0,38.0,-232.0,170.0,108.0,-219.0,368.0,0,-264.0
2017-09-11,-198.0,0.0,0.0,-181.0,241.0,0,346.0,38.0,-232.0,170.0,105.0,-218.0,365.0,0,-264.0
2017-09-12,-194.0,0.0,0.0,-179.0,237.0,0,343.0,37.0,-230.0,166.0,103.0,-218.0,364.0,0,-264.0
2017-09-13,-200.0,0.0,0.0,-183.0,248.0,0,347.0,37.0,-232.0,170.0,106.0,-221.0,368.0,0,-264.0
2017-09-14,-204.0,0.0,0.0,-186.0,250.0,0,346.0,38.0,-237.0,178.0,108.0,-223.0,367.0,0,-264.0
2017-09-15,-205.0,0.0,0.0,-186.0,255.0,0,346.0,40.0,-239.0,179.0,115.0,-224.0,365.0,0,-264.0
2017-09-18,-204.0,0.0,0.0,-186.0,254.0,0,346.0,42.0,-239.0,178.0,118.0,-225.0,363.0,0,-264.0
2017-09-19,-208.0,0.0,0.0,-188.0,260.0,0,344.0,42.0,-243.0,183.0,119.0,-228.0,369.0,0,-264.0
2017-09-20,-205.0,0.0,0.0,-187.0,262.0,0,342.0,41.0,-242.0,185.0,116.0,-228.0,367.0,0,-264.0
2017-09-21,-211.0,0.0,0.0,-191.0,269.0,0,345.0,44.0,-249.0,193.0,124.0,-234.0,373.0,0,-264.0
2017-09-22,-210.0,0.0,0.0,-191.0,269.0,0,342.0,45.0,-256.0,195.0,125.0,-241.0,366.0,0,-264.0
2017-09-25,-207.0,0.0,0.0,-190.0,269.0,0,341.0,45.0,-252.0,194.0,129.0,-238.0,366.0,0,-264.0
2017-09-26,-206.0,0.0,0.0,-188.0,265.0,0,342.0,46.0,-252.0,196.0,130.0,-236.0,363.0,0,-264.0
2017-09-27,-204.0,0.0,0.0,-188.0,266.0,0,343.0,46.0,-247.0,192.0,129.0,-232.0,362.0,0,-264.0
2017-09-28,-231.0,0.0,0.0,-212.0,302.0,0,391.0,53.0,0.0,222.0,148.0,-258.0,411.0,0,-264.0
2017-09-29,-226.0,0.0,0.0,-210.0,299.0,0,389.0,51.0,0.0,220.0,147.0,-251.0,412.0,0,-264.0
2017-10-09,-228.0,0.0,0.0,-210.0,310.0,0,389.0,53.0,270.0,0.0,153.0,-250.0,425.0,0,-264.0
2017-10-10,-254.0,0.0,0.0,-235.0,0.0,0,433.0,62.0,313.0,0.0,172.0,-289.0,467.0,0,-264.0
2017-10-11,-231.0,0.0,0.0,-214.0,313.0,0,390.0,56.0,0.0,229.0,154.0,-262.0,416.0,0,-264.0
2017-10-12,-209.0,0.0,0.0,-191.0,283.0,0,355.0,50.0,-248.0,206.0,133.0,-227.0,376.0,0,-264.0
2017-10-13,-223.0,0.0,0.0,-206.0,308.0,0,389.0,53.0,0.0,220.0,139.0,-242.0,412.0,0,-264.0
2017-10-16,-244.0,418.0,0.0,0.0,0.0,0,431.0,58.0,291.0,0.0,158.0,-266.0,462.0,0,-264.0
2017-10-17,-220.0,374.0,0.0,0.0,-312.0,0,388.0,55.0,0.0,221.0,144.0,-247.0,414.0,0,-264.0
2017-10-18,-244.0,412.0,0.0,0.0,-346.0,0,426.0,63.0,0.0,242.0,0.0,-275.0,461.0,0,-264.0
2017-10-19,-251.0,422.0,0.0,0.0,0.0,0,430.0,66.0,-308.0,250.0,0.0,-284.0,468.0,0,-264.0
2017-10-20,-199.0,331.0,0.0,-183.0,278.0,0,350.0,52.0,-241.0,194.0,0.0,-221.0,379.0,0,-264.0
2017-10-23,-221.0,364.0,0.0,-203.0,308.0,0,387.0,59.0,0.0,218.0,0.0,-248.0,414.0,0,-264.0
2017-10-24,-184.0,301.0,0.0,-169.0,256.0,0,322.0,50.0,-223.0,182.0,-128.0,-204.0,345.0,0,-264.0
2017-10-25,-202.0,331.0,0.0,-184.0,281.0,0,351.0,53.0,0.0,200.0,-137.0,-224.0,365.0,0,-264.0
2017-10-26,-226.0,364.0,0.0,-205.0,312.0,0,385.0,58.0,-274.0,221.0,-151.0,-253.0,0.0,0,-264.0
2017-10-27,-228.0,374.0,0.0,-208.0,311.0,0,385.0,58.0,-280.0,234.0,-152.0,-261.0,0.0,0,-264.0
2017-10-30,-228.0,376.0,0.0,-208.0,304.0,0,383.0,59.0,-280.0,235.0,-152.0,-261.0,0.0,0,-264.0
2017-10-31,-192.0,312.0,0.0,-175.0,263.0,0,323.0,50.0,-230.0,195.0,-131.0,-214.0,-333.0,0,-264.0
2017-11-01,-192.0,309.0,0.0,-176.0,267.0,0,323.0,49.0,-234.0,194.0,-129.0,-220.0,-336.0,0,-264.0
2017-11-02,-189.0,303.0,0.0,-173.0,264.0,0,322.0,48.0,-229.0,189.0,-122.0,-218.0,-336.0,0,-264.0
2017-11-03,-186.0,299.0,0.0,-172.0,264.0,0,321.0,48.0,-231.0,190.0,-123.0,-218.0,-333.0,0,-264.0
2017-11-06,-183.0,294.0,0.0,-169.0,258.0,0,314.0,47.0,-223.0,178.0,-119.0,-210.0,-329.0,0,-264.0
2017-11-07,-218.0,352.0,0.0,-202.0,310.0,0,376.0,55.0,-270.0,213.0,-141.0,-255.0,0.0,0,-264.0
2017-11-08,-218.0,351.0,0.0,-203.0,311.0,0,377.0,54.0,-269.0,215.0,-141.0,-254.0,0.0,0,-264.0
2017-11-09,-217.0,350.0,0.0,-202.0,313.0,0,375.0,54.0,-266.0,217.0,-138.0,-254.0,0.0,0,-264.0
2017-11-10,-220.0,353.0,0.0,-204.0,312.0,0,374.0,55.0,-263.0,216.0,-137.0,-249.0,0.0,0,-264.0
2017-11-13,-218.0,343.0,0.0,-203.0,314.0,0,362.0,56.0,-263.0,215.0,-138.0,-246.0,0.0,0,-264.0
2017-11-14,-220.0,345.0,0.0,-204.0,316.0,0,355.0,54.0,-263.0,215.0,-137.0,-245.0,0.0,0,-264.0
2017-11-15,-224.0,351.0,0.0,-207.0,331.0,0,361.0,56.0,-270.0,224.0,-143.0,-248.0,0.0,0,-264.0
2017-11-16,-188.0,293.0,0.0,-174.0,281.0,0,302.0,46.0,-226.0,182.0,-119.0,-207.0,-339.0,0,-264.0
2017-11-17,-221.0,344.0,0.0,-208.0,333.0,0,362.0,54.0,-275.0,216.0,-142.0,-254.0,0.0,0,-264.0
2017-11-20,-218.0,343.0,0.0,-206.0,333.0,0,359.0,52.0,-271.0,213.0,-138.0,-251.0,0.0,0,-264.0
2017-11-21,-218.0,335.0,0.0,-204.0,334.0,0,361.0,52.0,-266.0,213.0,-136.0,-249.0,0.0,0,-264.0
2017-11-22,-217.0,333.0,0.0,-204.0,322.0,0,368.0,50.0,-262.0,211.0,-128.0,-247.0,0.0,0,-264.0
2017-11-23,-219.0,336.0,0.0,-206.0,319.0,0,368.0,51.0,-261.0,197.0,-128.0,-251.0,0.0,0,-264.0
2017-11-24,-242.0,373.0,0.0,-227.0,353.0,0,406.0,55.0,-291.0,216.0,-138.0,0.0,0.0,0,-264.0
2017-11-27,-249.0,386.0,0.0,-233.0,362.0,0,411.0,55.0,-290.0,220.0,-141.0,0.0,0.0,0,-264.0
2017-11-28,-251.0,384.0,0.0,-237.0,361.0,0,413.0,55.0,-287.0,220.0,-139.0,0.0,0.0,0,-264.0
2017-11-29,-321.0,488.0,0.0,0.0,456.0,0,0.0,-69.0,-361.0,279.0,-179.0,0.0,0.0,0,-264.0
2017-11-30,-322.0,492.0,0.0,0.0,465.0,0,0.0,-66.0,-358.0,275.0,-175.0,0.0,0.0,0,-264.0
2017-12-01,-321.0,480.0,0.0,0.0,454.0,0,0.0,65.0,-359.0,272.0,-170.0,0.0,0.0,0,-264.0
2017-12-04,-243.0,360.0,0.0,232.0,343.0,0,-399.0,51.0,-274.0,203.0,-134.0,0.0,0.0,0,-264.0
2017-12-05,-274.0,0.0,0.0,263.0,389.0,0,-456.0,-57.0,-311.0,232.0,-154.0,0.0,0.0,0,-264.0
2017-12-06,-219.0,-312.0,0.0,210.0,301.0,0,-364.0,-46.0,-255.0,191.0,-122.0,254.0,0.0,0,-264.0
2017-12-07,-252.0,-358.0,0.0,238.0,346.0,0,-412.0,-55.0,-290.0,225.0,-147.0,0.0,0.0,0,-264.0
2017-12-08,-202.0,-290.0,0.0,192.0,268.0,0,-337.0,-44.0,-233.0,179.0,-120.0,0.0,-344.0,0,-264.0
2017-12-11,-200.0,-316.0,0.0,192.0,269.0,0,-337.0,-43.0,-232.0,183.0,0.0,232.0,-345.0,0,-264.0
2017-12-12,-218.0,0.0,0.0,209.0,296.0,0,-369.0,-47.0,-257.0,199.0,0.0,255.0,-383.0,0,-264.0
2017-12-13,-220.0,0.0,0.0,212.0,300.0,0,-370.0,-48.0,-261.0,198.0,0.0,259.0,-381.0,0,-264.0
2017-12-14,-222.0,0.0,0.0,212.0,302.0,0,-376.0,-50.0,-264.0,201.0,0.0,259.0,-382.0,0,-264.0
